FID,Bacia,Rio,Unidade da Federação,Município,Responsável,Operadora,Tipo,Código,Estação,Latitude,Longitude,Área de Drenagem (km²),Réguas Linimétricas,Registrador de Nível,Medição de Descarga Líquida,Medição de Sedimentos,Medição de Qualidade da Água,Estação Telemétrica,Operando,Início (Réguas),Início (Registrador de Nível),Início (Descarga Líquida),Início (Sedimentos),Início (Qualidade da Água),Pluviômetro,Registrador de Chuva,Tanque Evaporimétrico,Estação Climatológica,Início (Pluviômetro),Início (Registrador Chuva),Início (Tanque Evaporimétrico),Início (Climatológica),Início (Telemetria),x,y
4232,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,BARRA DE GUABIRABA,CEMADEN,CEMADEN,Pluviométrica,835160,BARRA DE GUABIRABA_Centro,-8.41805555556,-35.6638888889,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-3970085.950818998,-940483.3650173513
4233,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,BARRA DE GUABIRABA,EMATER,EMATER,Pluviométrica,835112,BARRA DE GUARATIBA,-8.43333333333,-35.6666666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jul-79,-,-,-,00:00:00,-3970395.171626757,-942202.6360349957
4234,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VERTENTES,EMATER,EMATER,Pluviométrica,735155,VERTENTES,-7.9,-35.9666666667,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jul-79,-,-,-,00:00:00,-4003791.0188647397,-882223.7746321363
4235,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VERTENTES,ANA,CPRM,Pluviométrica,735159,VERTENTES,-7.91,-35.9886111111,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,mar-86,-,-,-,00:00:00,-4006233.8632460353,-883347.6491987176
4236,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,VERTENTES,DNOCS,DNOCS,Pluviométrica,735085,VERTENTES,-7.91666666667,-35.9833333333,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,ago-11,-,-,-,00:00:00,-4005646.343711294,-884096.9140485318
4251,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,AGRESTINA,EMATER,EMATER,Pluviométrica,835110,AGRESTINA,-8.45,-35.95,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-79,-,-,-,00:00:00,-4001935.694018185,-944078.2819421665
4261,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,ALTINHO,CEMADEN,CEMADEN,Pluviométrica,836099,ALTINHO_Prefeitura,-8.49055555556,-36.0602777778,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-14,-,-,-,01/01/2014,-4014211.7600862207,-948642.6925693672
4262,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,ALTINHO,EMATER,EMATER,Pluviométrica,836065,ALTINHO,-8.5,-36.0833333333,-,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,-,Sim,Não,Não,Não,jan-79,-,-,-,00:00:00,-4016778.292790622,-949705.7066627226
4266,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,AMARAGI,CPRH-PE,CPRH-PE,Pluviométrica,835157,USINA ESTRELIANA-AMARAGI,-8.495,-35.4483333333,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/10/2012,-3946090.4161368925,-949142.9312354343
4267,"ATLÂNTICO,TRECHO NORTE/NORDESTE",-,PE,AMARAGI,ANA,CPRM,Pluviométrica,835150,AMARAGI,-8.38027777778,-35.4552777778,-,Não,Não,Não,Não,Não,Sim,Sim,-,-,-,-,-,Não,Não,Não,Não,-,-,-,-,01/05/2012,-3946863.4681562907,-936232.3677002856
