,835030,836009,834016,638013,638012,638004
1962-01-01,,,,,0.0,0.0
1962-01-02,,,,,0.0,0.0
1962-01-03,,,,,0.0,0.0
1962-01-04,,,,,0.0,0.0
1962-01-05,,,,,0.0,0.0
1962-01-06,,,,,0.0,0.0
1962-01-07,,,,,0.0,0.0
1962-01-08,,,,,0.0,0.0
1962-01-09,,,,,0.0,0.0
1962-01-10,,,,,0.0,0.0
1962-01-11,,,,,0.0,0.0
1962-01-12,,,,,0.0,0.0
1962-01-13,,,,,0.0,0.0
1962-01-14,,,,,0.0,0.0
1962-01-15,,,,,0.0,0.0
1962-01-16,,,,,0.0,1.5
1962-01-17,,,,,5.0,0.0
1962-01-18,,,,,0.0,0.0
1962-01-19,,,,,0.0,0.0
1962-01-20,,,,,0.0,0.0
1962-01-21,,,,,0.0,5.4
1962-01-22,,,,,16.0,52.4
1962-01-23,,,,,0.0,0.0
1962-01-24,,,,,0.0,0.0
1962-01-25,,,,,0.0,0.0
1962-01-26,,,,,0.0,0.0
1962-01-27,,,,,0.0,0.0
1962-01-28,,,,,20.6,4.5
1962-01-29,,,,,0.0,3.0
1962-01-30,,,,,11.6,84.0
1962-02-01,,,,,0.0,26.9
1962-02-02,,,,,32.7,0.0
1962-02-03,,,,,0.0,0.0
1962-02-04,,,,,0.0,0.0
1962-02-05,,,,,0.0,0.0
1962-02-06,,,,,0.0,0.0
1962-02-07,,,,,18.0,4.6
1962-02-08,,,,,8.2,36.7
1962-02-09,,,,,0.3,0.0
1962-02-10,,,,,0.0,0.0
1962-02-11,,,,,0.0,0.0
1962-02-12,,,,,0.0,0.0
1962-02-13,,,,,0.0,0.0
1962-02-14,,,,,40.0,0.1
1962-02-15,,,,,0.0,0.5
1962-02-16,,,,,0.2,0.0
1962-02-17,,,,,0.0,0.2
1962-02-18,,,,,0.0,0.0
1962-02-19,,,,,0.0,0.0
1962-02-20,,,,,0.0,0.0
1962-02-21,,,,,0.0,1.2
1962-02-22,,,,,78.0,1.0
1962-02-23,,,,,0.0,0.0
1962-02-24,,,,,0.0,0.0
1962-02-25,,,,,0.0,15.0
1962-02-26,,,,,0.3,0.0
1962-02-27,,,,,55.0,6.0
1962-03-01,,,,,1.9,0.5
1962-03-02,,,,,5.9,30.0
1962-03-03,,,,,0.0,2.0
1962-03-04,,,,,0.1,0.0
1962-03-05,,,,,2.1,0.9
1962-03-06,,,,,0.0,0.0
1962-03-07,,,,,0.0,0.0
1962-03-08,,,,,0.0,0.0
1962-03-09,,,,,0.0,0.0
1962-03-10,,,,,58.1,26.3
1962-03-11,,,,,2.0,0.2
1962-03-12,,,,,0.0,0.0
1962-03-13,,,,,49.6,0.4
1962-03-14,,,,,1.4,0.0
1962-03-15,,,,,3.5,22.0
1962-03-16,,,,,0.3,0.5
1962-03-17,,,,,2.5,13.8
1962-03-18,,,,,21.4,30.6
1962-03-19,,,,,15.0,33.3
1962-03-20,,,,,24.0,11.2
1962-03-21,,,,,0.0,0.3
1962-03-22,,,,,0.0,0.0
1962-03-23,,,,,5.5,71.8
1962-03-24,,,,,0.0,0.0
1962-03-25,,,,,0.0,11.0
1962-03-26,,,,,25.0,3.6
1962-03-27,,,,,6.0,0.0
1962-03-28,,,,,0.0,0.0
1962-03-29,,,,,0.0,0.0
1962-03-30,,,,,62.0,13.5
1962-04-01,,,,,20.0,50.4
1962-04-02,,,,,0.3,0.0
1962-04-03,,,,,0.0,0.0
1962-04-04,,,,,5.4,3.2
1962-04-05,,,,,9.4,3.0
1962-04-06,,,,,0.5,18.5
1962-04-07,,,,,0.0,1.9
1962-04-08,,,,,0.0,0.0
1962-04-09,,,,,0.0,0.0
1962-04-10,,,,,5.3,2.5
1962-04-11,,,,,0.0,1.0
1962-04-12,,,,,12.8,0.0
1962-04-13,,,,,2.8,0.0
1962-04-14,,,,,0.0,0.0
1962-04-15,,,,,0.0,0.5
1962-04-16,,,,,4.1,4.3
1962-04-17,,,,,0.0,0.0
1962-04-18,,,,,0.0,0.0
1962-04-19,,,,,3.4,0.0
1962-04-20,,,,,0.0,0.0
1962-04-21,,,,,0.2,9.6
1962-04-22,,,,,4.7,0.0
1962-04-23,,,,,0.0,0.0
1962-04-24,,,,,31.2,0.7
1962-04-25,,,,,4.0,6.6
1962-04-26,,,,,0.0,0.0
1962-04-27,,,,,0.0,4.5
